Specific Semester,Broad Semester,Semester Order
Fall,Fall,0
Fall 4W2,Fall,1
Fall 4W3,Fall,2
Fall 4W4,Fall,3
Fall 8W1,Fall,4
Fall 8W2,Fall,5
Fall MA,Fall,6
Fall MB,Fall,7
Fall SDC,Fall,8
Summer 3W1,Summer,9
Summer 10W,Summer,10
Summer 5W1,Summer,11
Summer 5W2,Summer,12
Summer 8W1,Summer,13
Summer 8W2,Summer,14
Summer MA,Summer,15
Summer SUM,Summer,16
Summer Sum,Summer,17
Spring,Spring,18
Spring 4W1,Spring,19
Spring 4W2,Spring,20
Spring 4W3,Spring,21
Spring 4W4,Spring,22
Spring 8W1,Spring,23
Spring 8W2,Spring,24
Spring MA,Spring,25
Spring MB,Spring,26
Spring SDC,Spring,27
Spring 3W1,Winter,28
